Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
406400,747,309,41.36546185,206,27.57697456,12,1.606425703,134,17.93842035,0,0,41,5.488621151,45,6.024096386
406500,1941,383,19.73209686,682,35.13652756,21,1.081916538,285,14.68315301,24,1.236476043,455,23.44152499,91,4.688304997
406601,1695,393,23.18584071,594,35.04424779,46,2.713864307,368,21.71091445,0,0,147,8.672566372,147,8.672566372
406602,948,232,24.47257384,284,29.95780591,25,2.637130802,307,32.38396624,6,0.6329113924,74,7.805907173,20,2.109704641
406700,2133,1182,55.41490858,306,14.34599156,8,0.3750586029,466,21.84716362,0,0,36,1.687763713,135,6.329113924
406800,1371,656,47.84828592,152,11.08679796,6,0.4376367615,424,30.92633115,0,0,99,7.221006565,34,2.479941648
406900,1519,797,52.46872943,291,19.15734036,0,0,253,16.65569454,28,1.843317972,36,2.36998025,114,7.504937459
407000,1975,608,30.78481013,393,19.89873418,7,0.3544303797,473,23.94936709,0,0,342,17.3164557,152,7.696202532
407101,1023,321,31.37829912,180,17.59530792,6,0.5865102639,284,27.76148583,0,0,212,20.72336266,20,1.955034213
407102,1295,460,35.52123552,277,21.38996139,17,1.312741313,256,19.76833977,19,1.467181467,170,13.12741313,96,7.413127413
407200,1881,697,37.05475811,237,12.59968102,43,2.286018075,330,17.54385965,20,1.063264221,507,26.95374801,47,2.49867092
407300,759,341,44.92753623,110,14.49275362,0,0,112,14.75625823,6,0.790513834,147,19.36758893,43,5.665349144
407400,1128,203,17.9964539,311,27.57092199,0,0,142,12.58865248,22,1.95035461,419,37.14539007,31,2.74822695
407500,1304,203,15.56748466,569,43.63496933,0,0,115,8.819018405,0,0,389,29.83128834,28,2.147239264
407600,2227,460,20.65559048,1126,50.56129322,0,0,180,8.082622362,0,0,261,11.71980242,200,8.980691513
407700,1634,596,36.4749082,816,49.93880049,0,0,106,6.487148103,0,0,49,2.99877601,67,4.100367197
407800,753,293,38.91102258,297,39.44223108,0,0,95,12.61620186,0,0,14,1.859229748,54,7.171314741
407900,1109,610,55.00450857,207,18.66546438,0,0,191,17.22272317,0,0,40,3.606853021,61,5.500450857
408000,996,648,65.06024096,130,13.05220884,9,0.9036144578,166,16.66666667,0,0,18,1.807228916,25,2.510040161
408100,2657,1170,44.03462552,689,25.93150169,38,1.430184419,507,19.08167106,0,0,32,1.204365826,221,8.317651487
408200,1741,504,28.94887995,952,54.68121769,27,1.550832855,71,4.078116025,10,0.5743825388,80,4.59506031,97,5.571510626
408300,1788,663,37.08053691,724,40.49217002,7,0.3914988814,108,6.040268456,10,0.5592841163,201,11.24161074,75,4.194630872
408400,1099,330,30.02729754,487,44.31301183,18,1.637852593,0,0,6,0.5459508644,249,22.65696087,9,0.8189262966
408500,1654,101,6.106408706,923,55.80411125,15,0.9068923821,35,2.116082225,30,1.813784764,507,30.65296252,43,2.599758162
408600,1835,344,18.74659401,872,47.52043597,28,1.525885559,37,2.016348774,0,0,472,25.72207084,82,4.46866485
408700,2310,422,18.26839827,1246,53.93939394,0,0,99,4.285714286,0,0,405,17.53246753,138,5.974025974
408800,2021,140,6.927263731,1130,55.9129144,5,0.2474022761,142,7.026224641,58,2.869866403,476,23.55269668,70,3.463631865
408900,919,180,19.58650707,424,46.13710555,5,0.5440696409,44,4.78781284,0,0,246,26.76822633,20,2.176278564
409000,1046,180,17.208413,474,45.31548757,29,2.772466539,28,2.676864245,11,1.051625239,257,24.56978967,67,6.405353728
409100,624,106,16.98717949,350,56.08974359,5,0.8012820513,29,4.647435897,0,0,102,16.34615385,32,5.128205128
409200,938,141,15.03198294,439,46.80170576,19,2.025586354,33,3.518123667,0,0,285,30.38379531,21,2.23880597
409300,1597,352,22.04132749,669,41.89104571,14,0.876643707,26,1.628052599,0,0,489,30.61991234,47,2.943018159
409400,1256,310,24.68152866,408,32.48407643,0,0,111,8.837579618,0,0,394,31.36942675,33,2.627388535
409500,1146,296,25.82897033,466,40.66317627,13,1.134380454,0,0,0,0,345,30.10471204,26,2.268760908
409600,1351,195,14.43375278,579,42.85714286,0,0,40,2.9607698,9,0.666173205,464,34.34492968,64,4.73723168
409700,1553,287,18.48036059,757,48.74436574,3,0.193174501,70,4.507405023,14,0.9014810045,382,24.59755312,40,2.575660013
409800,1266,230,18.16745656,743,58.68878357,2,0.1579778831,69,5.450236967,0,0,117,9.241706161,105,8.293838863
409900,1412,459,32.50708215,699,49.50424929,0,0,120,8.498583569,0,0,52,3.682719547,82,5.807365439
410000,1194,474,39.69849246,531,44.47236181,0,0,72,6.030150754,0,0,9,0.7537688442,108,9.045226131
410100,1026,250,24.36647173,668,65.10721248,0,0,28,2.729044834,0,0,34,3.313840156,46,4.483430799
410200,1143,216,18.8976378,622,54.41819773,0,0,25,2.187226597,8,0.6999125109,243,21.25984252,29,2.537182852
410300,926,176,19.00647948,383,41.36069114,14,1.51187905,6,0.6479481641,18,1.943844492,296,31.96544276,33,3.563714903
410400,1335,348,26.06741573,626,46.89138577,7,0.5243445693,141,10.56179775,8,0.5992509363,171,12.80898876,34,2.546816479
410500,927,73,7.874865156,641,69.14778857,8,0.8629989213,132,14.2394822,6,0.6472491909,42,4.530744337,25,2.696871629
420100,869,595,68.46950518,18,2.071346375,0,0,190,21.86421174,0,0,32,3.682393556,34,3.912543153
420200,1230,765,62.19512195,111,9.024390244,0,0,274,22.27642276,4,0.325203252,48,3.902439024,28,2.276422764
420300,1968,900,45.73170732,101,5.132113821,0,0,699,35.51829268,73,3.709349593,167,8.485772358,28,1.422764228
420400,1155,468,40.51948052,45,3.896103896,40,3.463203463,415,35.93073593,50,4.329004329,73,6.32034632,64,5.541125541
420500,940,555,59.04255319,36,3.829787234,7,0.7446808511,224,23.82978723,0,0,45,4.787234043,73,7.765957447
420600,1208,989,81.87086093,29,2.400662252,0,0,143,11.83774834,0,0,25,2.069536424,22,1.821192053
421100,857,742,86.58109685,11,1.283547258,0,0,98,11.43523921,0,0,0,0,6,0.7001166861
421200,1520,1265,83.22368421,6,0.3947368421,0,0,184,12.10526316,0,0,19,1.25,46,3.026315789
421300,1593,1368,85.87570621,0,0,0,0,179,11.23666039,0,0,10,0.6277463905,36,2.259887006
421400,654,546,83.48623853,27,4.128440367,3,0.4587155963,66,10.09174312,0,0,6,0.9174311927,6,0.9174311927
