Tract,Pct_Moved_In_County,Pct_Moved_Diff_County,Pct_Moved_Diff_State,Pct_Moved_Intl
135203,8.6,0.4,0.4,1.5
137000,9.7,0,0.7,0
137103,14.9,0.4,3.8,1
137104,2.3,0.7,0,0
137201,10.4,0,0,3.5
137301,7.6,0.4,1,0.3
137302,9.4,0,0.6,0.4
137401,8.5,0.5,0.7,0.5
137402,6.3,0.7,0.7,0
137501,19.3,4.3,3.8,1.7
137502,13.6,2.3,2.7,0.6
137504,10.1,0.8,1.5,0.2
138000,8.6,0.3,1.1,0.2
139001,10.2,0,1.5,0.2
139200,9.7,1.2,4.1,1
139301,6.1,0.2,1.1,0.4
139302,17.8,1.8,0.8,2.4
139303,17.1,0.6,1.2,1.3
139401,7.7,1.1,4,1.1
139402,6.6,0,0.2,0
139502,15.2,0,0,0.5
139503,17.1,1.4,0.5,0
139504,12.8,3.1,2.8,2.3
139600,7.5,0.2,3.7,0.7
139701,4.4,2.5,0,0.6
139702,4.5,0.3,0,1.1
139703,7.2,0.2,1,0.4
139801,1.4,0,1.1,0.6
139802,2,0.8,0.2,0.2
141101,15,1.4,5.8,1
141102,16.3,0.7,2.5,0
141201,15.7,3.5,3.7,0
141202,9.7,2.2,2.1,1.1
141302,13.3,4.2,4.3,0.5
141303,14.4,1.1,0.9,1.9
141304,13.5,0.3,1.5,0.3
141400,4.1,1.5,0.2,1
141500,7.2,1.3,0,0
141600,7.8,0.7,0.8,2.4
141700,3,1.3,1,0
143100,9.9,0.4,1.2,0
143200,15.7,4,3.4,0.3
143300,10.8,1.1,2.2,0.4
143400,8.1,1.4,2.5,0.3
143500,7.9,0.5,4.5,0.9
143602,9.5,0.4,2.7,0
143603,10.6,1,3.3,1.9
143604,15.5,4.6,14.7,4.4
143700,6.5,0.4,4.2,0.2
143800,14.6,1.9,1.2,0
143901,6.5,0.8,1.1,0
143902,8.2,0,1.8,0.4
181000,6.5,1.4,0,0.2
181300,3.7,0.6,0.2,0
181400,7.2,0.3,1.5,1.7
181500,4,0,0.3,0.3
181600,12.2,5.1,3.5,2.9
183101,5,0.1,0,1
183103,7.6,2,0.6,0
183104,2.4,0.3,0.6,0
183220,6.9,0.4,0,0
183221,8.4,0.6,0,1.7
183222,14.1,0,0.9,0.6
183300,6.5,0,1.8,0.9
183401,5.9,0.9,0.4,0.9
183402,11.3,1.3,0.9,0.2
183510,5.3,0,0,0
183520,10.1,0,0.7,0
183610,6.5,0.7,0,0.4
183620,10.9,0,0.4,0
183701,10,0.3,1.4,0.5
183702,15.8,0.6,0,0.5
183810,10.5,1.5,1.6,1
183820,12.1,0,0,1.2
185100,12.1,0,0.6,0
185202,11.1,0.8,0.2,0.4
185203,14.7,1.3,1.7,0.3
185204,6.9,2.3,0.3,0.3
185310,4.7,2,0.8,0
185320,2.5,1,0.2,0.4
186100,8.5,0.6,0.6,0.2
186201,7.9,0,0,0.8
186202,10.8,1.5,1.2,2.6
186203,8.3,2,0.9,0
186301,13.5,1.2,0.8,1.2
186302,5.7,0.3,0.9,1.1
186401,7.5,0.1,0.6,0.2
186403,6.6,0.7,0.7,0
186404,4.7,0.3,0.3,0.3
187101,3.6,0.5,0,0
187102,3.2,0.5,0,0.9
187200,2.5,0,0.4,0.1
187300,7.5,1,0.1,0.2
188100,9.6,1.7,0.5,1.6
188201,10.6,0.4,1.6,0.8
188202,8.4,2.7,3.6,0.4
188300,4.1,0,1.7,0
189101,13.1,0,2.6,0.4
189102,15.1,0.9,3.3,1.1
189201,14.4,0.9,5,0.8
189202,8.5,2.9,1.2,1.3
189300,3.8,0,1.3,1.5
189400,8.3,0.1,2.5,0.2
189500,7.9,1,3.8,3.1
189600,11.4,0.6,3.3,1.2
189701,11.8,1,2.6,1.8
189702,3.5,2.1,4,1.5
189800,12.2,1.2,4.1,0.8
189902,18.6,1,3.6,0.8
189903,14.6,2.1,7.4,0.9
189904,22.6,3,6.7,1.1
189905,12.6,1.7,7,0.9
190100,18.9,3.6,4.8,1.2
190201,12.6,5.3,6.3,7.7
190202,12.4,6.2,7.1,2.5
190301,8.4,2.7,2.8,0.8
190401,9.1,1.4,0.5,1.6
190402,17.9,0.4,2.2,0.7
190510,11.6,1.3,1.3,0.4
190520,13.8,1,0.5,0.7
190700,8,3.3,6.5,2.7
190801,12.2,1.2,3.8,0
190802,5.7,1.1,1.7,1.2
190901,8.2,0.4,2,0.4
190902,4.7,1.1,1.3,0
191000,14.3,1.1,4.5,0
191110,9.5,0,0.9,0
191120,11.9,0,0.7,1.4
191201,9.3,1.5,0.8,0.9
191203,7,0,1,0
191204,10,0.4,2.6,0.6
191301,5.1,0.3,2.1,0.3
191302,8.3,1,1.5,1.8
191410,7.1,1.9,1.5,0.1
191420,7.2,0.9,2.7,0.7
191500,12,0.3,0.3,0.3
191610,6.2,0,1.8,2
191620,10,0.7,1.6,0.5
191710,8.6,1.5,1,2.5
191720,6.5,0.4,1.2,0.7
191810,4,0.3,3.1,0.3
191820,7.1,1,1.5,0.2
191901,8,0.7,3.2,1.9
191902,10.5,3.9,1.4,0
192001,18.3,1.6,3.2,0.5
192002,16.8,1,4,1.8
192300,11.3,1,1.9,0.8
192410,8.7,0.2,3.5,2.2
192420,4,0.3,0.9,0
192510,3.6,0.6,1,0.9
192520,7.8,0.8,0,0.4
192610,8.4,0,0.2,0.2
192620,8.7,0.2,0.9,1.1
192700,13.9,2.8,0.8,2.9
194101,13,0,2.1,1.6
194102,5.2,0.6,2.9,0
194200,6.8,1.8,1.4,5.3
194300,19.3,0.5,3.3,0.7
194401,20.5,1.9,1.9,0.7
194402,12.8,4.8,5.1,0.3
194500,5.5,1,3.1,1.4
195100,8.6,2.4,1.4,0.5
195201,7,1.2,2.1,0.3
195202,5.2,0.6,2.8,0.2
195300,5.4,1.6,1.1,0.8
195400,6.3,1,0.5,0.4
195500,8.7,0.4,4.1,1.3
195600,12.8,1.4,0.8,0.7
195710,7.7,2.1,0.7,1.2
195720,11.9,1.6,0.6,0.5
195802,8,0.5,0.9,0
195803,11.2,0.6,2.8,0.7
195804,4.7,0.9,2.2,2.4
195901,11.7,1.3,2.6,0
195902,9.7,0.4,4.1,2.2
195903,14.3,0.3,0.8,0.8
197200,7,0.4,1.5,0.2
197300,6.1,0.5,2,0.2
197410,9.3,0.5,2,0.6
197420,9.4,2.2,1.4,0.6
197500,11,0.6,2.6,0.7
197600,13.3,0.5,1.5,0.8
197700,9.5,2.8,2,1.1
199000,12.6,0.2,0,2.3
199110,9.4,0.2,0.2,0
199120,13.3,0.2,0.4,1
199201,6.4,1.1,0,0
199202,8.9,0,0.4,0.2
199300,11.1,0.9,0.2,0
199400,12,0.7,0.3,0.8
199700,10.1,1.3,0.9,0
199800,5.1,0,0,0.2
199900,8.6,0,0.2,0.4
201110,7.2,0,0,0.9
201120,11.3,0,0.3,1.2
201200,6.5,1.7,0,0
201301,4.1,0.5,0,0
201302,19.6,0.8,0.4,0
201401,11,0.3,2.3,0.2
201402,3.3,0.7,0.4,0
201501,2.1,0.3,0.1,0
201503,8.7,0.5,0,0.3
201504,7.7,0,0,0
201601,6.4,0.8,0.9,0
201602,2.4,0.1,0,0
201700,10.5,8.4,1.7,0.6
203100,6,0.2,0.2,0.3
203200,8.2,0,0.4,0.8
203300,24.9,1.1,1.4,1.9
203500,12.8,0.8,0.8,0.4
203600,2.2,0.4,0.2,0
203710,15.7,0.7,0.3,0
203720,2.6,0.7,0,0
203800,6.5,0.8,0.2,0
203900,4.8,0,0.2,0.2
204110,4,0.2,0,0.3
204120,9.1,0,0,0
204200,6.2,0.3,0.8,0
204300,5.5,0.4,0.5,0.4
204410,6.4,0,0,0
204420,9.1,0.3,0.2,0.3
204600,8.9,0,1,1.7
204700,4.1,0,0.3,0.7
204810,6.7,0.3,0,1.5
204820,7.3,0,0,0
204910,8.4,0,0,0.3
204920,6.9,0.3,1.2,0
205110,8.4,0,0,0.9
205120,8.3,0.2,0,0.4
206010,3.7,1.3,0.4,0.7
206020,52.1,5.2,1.3,0.2
206031,16.9,1.8,4.8,0.9
206032,9.8,0,0.1,2.3
206050,9.7,0,0,0.3
206200,21.3,2.4,3.6,2.1
206300,37,2.6,4.1,0.7
207101,15.9,0.9,2.7,0.7
207102,11.4,1.5,0,0.9
207103,2.3,0.9,0.5,4.5
207301,12.9,2.4,3.4,2
207302,22.1,3,4.8,2.5
207400,34.6,11.7,3.9,7.6
207501,14.5,1.6,2.2,1.2
207502,10.3,2.4,3.7,1.6
207710,30.5,6.9,5.6,1.8
207900,29.8,8.8,3.8,1.8
208000,8.5,1.3,0.7,2
208301,8.6,0,0.2,0
208302,7.5,0,0.6,0.9
208401,4.5,0,0.2,0
208402,4.7,0.1,2,0
208501,8.6,0.3,2.1,1
208502,4.3,1.2,2,1.3
208610,10.8,0.4,1.3,0.2
208620,10,0.8,1.2,0.7
208710,7.4,0.6,0.9,0.4
208720,6.4,0.2,1.2,2.3
208801,9.2,0.6,0.5,0.7
208802,19.9,0.5,2.1,1.1
208902,7.4,0.2,0.7,1.2
208903,12.6,0.5,0.7,1.4
208904,5,0.1,0.2,0
209102,5.7,0,0.5,1
209103,3.3,0.9,0.6,0.6
209104,13.3,0.6,0.2,0.8
209200,17.6,3.4,5.6,2.8
209300,16.5,2.4,3.2,3.3
209401,17.4,0.3,1.2,0
209402,12.9,0.2,0,1.6
209403,13.2,0,0,0.8
209510,12.2,0.2,1.5,2.4
209520,13.8,0.4,1.3,1.1
209810,12.4,0.2,1.5,0
209820,11,0.2,0.6,1
