GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC06_EST_VC18,HC06_MOE_VC18
Id,Id2,Geography,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher,Male; Estimate; Percent high school graduate or higher,Male; Margin of Error; Percent high school graduate or higher,Percent Male; Estimate; Percent high school graduate or higher,Percent Male; Margin of Error; Percent high school graduate or higher,Female; Estimate; Percent high school graduate or higher,Female; Margin of Error; Percent high school graduate or higher,Percent Female; Estimate; Percent high school graduate or higher,Percent Female; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent; Margin of Error; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Male; Margin of Error; Percent bachelor's degree or higher,Percent Male; Estimate; Percent bachelor's degree or higher,Percent Male; Margin of Error; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Female; Margin of Error; Percent bachelor's degree or higher,Percent Female; Estimate; Percent bachelor's degree or higher,Percent Female; Margin of Error; Percent bachelor's degree or higher
1400000US06037218400,06037218400,"Census Tract 2184, Los Angeles County, California",(X),(X),74.5,7.2,(X),(X),75.0,8.2,(X),(X),73.9,7.5,(X),(X),18.6,5.6,(X),(X),24.1,7.8,(X),(X),13.1,6.8
1400000US06037218500,06037218500,"Census Tract 2185, Los Angeles County, California",(X),(X),77.4,3.7,(X),(X),77.2,6.5,(X),(X),77.5,5.1,(X),(X),22.2,5.5,(X),(X),20.7,7.0,(X),(X),23.5,6.9
1400000US06037218600,06037218600,"Census Tract 2186, Los Angeles County, California",(X),(X),73.6,6.7,(X),(X),70.8,9.1,(X),(X),76.3,7.5,(X),(X),19.0,6.6,(X),(X),19.7,8.9,(X),(X),18.2,6.2
1400000US06037218701,06037218701,"Census Tract 2187.01, Los Angeles County, California",(X),(X),85.2,5.5,(X),(X),83.1,7.0,(X),(X),87.1,6.3,(X),(X),32.8,6.5,(X),(X),30.2,8.6,(X),(X),35.2,8.2
1400000US06037218702,06037218702,"Census Tract 2187.02, Los Angeles County, California",(X),(X),64.9,7.0,(X),(X),60.7,10.0,(X),(X),68.9,6.9,(X),(X),19.8,4.9,(X),(X),19.6,6.8,(X),(X),19.9,6.9
1400000US06037218800,06037218800,"Census Tract 2188, Los Angeles County, California",(X),(X),71.9,5.7,(X),(X),77.8,7.3,(X),(X),65.2,8.6,(X),(X),18.1,5.4,(X),(X),16.0,6.5,(X),(X),20.5,7.3
1400000US06037218900,06037218900,"Census Tract 2189, Los Angeles County, California",(X),(X),73.4,5.0,(X),(X),73.7,7.2,(X),(X),73.2,7.0,(X),(X),21.1,5.5,(X),(X),21.1,7.0,(X),(X),21.0,7.0
1400000US06037219010,06037219010,"Census Tract 2190.10, Los Angeles County, California",(X),(X),64.6,7.9,(X),(X),56.0,9.5,(X),(X),71.8,9.0,(X),(X),11.7,4.3,(X),(X),9.0,4.6,(X),(X),13.9,6.2
1400000US06037219020,06037219020,"Census Tract 2190.20, Los Angeles County, California",(X),(X),74.3,6.2,(X),(X),75.5,7.1,(X),(X),73.2,7.2,(X),(X),17.1,5.8,(X),(X),18.6,8.9,(X),(X),15.9,5.6
1400000US06037219300,06037219300,"Census Tract 2193, Los Angeles County, California",(X),(X),69.0,9.1,(X),(X),68.9,9.9,(X),(X),69.0,10.1,(X),(X),14.7,4.1,(X),(X),14.1,7.1,(X),(X),15.2,5.0
1400000US06037219500,06037219500,"Census Tract 2195, Los Angeles County, California",(X),(X),93.0,3.1,(X),(X),91.2,5.2,(X),(X),94.4,4.7,(X),(X),35.3,6.5,(X),(X),38.2,9.5,(X),(X),32.9,8.7
1400000US06037219700,06037219700,"Census Tract 2197, Los Angeles County, California",(X),(X),68.6,7.1,(X),(X),66.5,9.3,(X),(X),70.5,8.1,(X),(X),16.1,4.7,(X),(X),14.8,5.4,(X),(X),17.2,6.0
1400000US06037219800,06037219800,"Census Tract 2198, Los Angeles County, California",(X),(X),56.4,5.7,(X),(X),54.8,8.1,(X),(X),57.7,6.7,(X),(X),8.0,2.9,(X),(X),6.3,3.8,(X),(X),9.3,3.5
1400000US06037219901,06037219901,"Census Tract 2199.01, Los Angeles County, California",(X),(X),51.4,7.0,(X),(X),60.5,10.0,(X),(X),42.1,8.5,(X),(X),12.7,5.2,(X),(X),10.4,4.9,(X),(X),15.1,6.6
1400000US06037219902,06037219902,"Census Tract 2199.02, Los Angeles County, California",(X),(X),66.9,8.0,(X),(X),64.3,10.2,(X),(X),69.6,8.5,(X),(X),17.5,4.9,(X),(X),12.0,8.0,(X),(X),23.5,6.9
1400000US06037220000,06037220000,"Census Tract 2200, Los Angeles County, California",(X),(X),73.5,6.4,(X),(X),72.6,8.4,(X),(X),74.3,6.5,(X),(X),16.9,4.1,(X),(X),18.2,6.3,(X),(X),15.9,5.2
