Tract,Pct_Male_Ins,Pct_Female_Ins
436700,96.96969697,100
436800,100,100
436900,95.50387597,96.23188406
437000,100,100
437101,99.29577465,91.7562724
437102,100,97.43589744
437200,100,92.84578696
437300,100,100
437400,96.21993127,98.13953488
437500,98.77835951,95.24886878
437600,93.80530973,95.49180328
437701,83.55704698,85.74338086
437702,98.98785425,91.89189189
437800,95.22546419,100
437900,100,100
438000,97.08737864,100
438100,96.21052632,92.10526316
438201,98.70410367,97.56097561
438203,100,97.75280899
438204,90.39548023,100
438300,87.62886598,97.73299748
438400,96.83257919,81.44329897
440100,95.0617284,100
440200,95.14237856,94.86607143
440301,100,96.3898917
440304,91.68490153,96.68246445
440305,96.58536585,90.78014184
440306,94.67455621,98.13333333
440307,100,93.8697318
440308,98.35164835,100
440331,100,99.02597403
440332,99.29824561,97.91666667
440333,100,97.32142857
440334,95.05494505,97.06840391
440335,98.22335025,100
440336,94.26229508,100
441100,100,100
441200,100,100
441301,90.56603774,98.28178694
441302,100,100
441401,96.96969697,96.9895288
441402,100,100
441501,100,95.90517241
441503,98.36289222,95.39078156
441521,96.08610568,96.6796875
441522,90.66666667,97.81553398
441523,97.52252252,100
441524,100,100
441601,97.90575916,84.93975904
441602,100,100
441700,100,97.71505376
441800,96.20437956,98.28473413
441921,97.03703704,100
441923,100,100
441924,100,100
441925,100,100
441926,100,100
441927,100,100
442000,96.89655172,97.36842105
442100,98.89937107,100
442200,95.11002445,98.38220425
442301,99.38650307,97.48603352
442302,100,97.82214156
442400,100,100
442500,100,100
442601,96.27039627,100
442602,100,100
442700,100,100
442800,98.30508475,97.76536313
442900,98.17351598,100
443001,96.2962963,97.82608696
443002,95.02572899,96.28610729
443102,98.44789357,96.7413442
443103,100,100
443104,97.65494137,97.69021739
443105,97.14285714,100
443200,100,100
443301,100,100
443321,100,100
443322,100,100
444100,100,100
444200,97.66606822,93.04812834
444301,97.36842105,100
444302,100,97.10843373
444400,97.31800766,95.62682216
444500,95.79288026,97.2972973
444601,95.58823529,92.30769231
444602,100,100
450101,97.76951673,99.41520468
450102,100,100
450200,100,100
450300,99.67845659,100
450400,100,100
450501,100,100
450502,100,100
450601,98.54014599,100
450602,98.60594796,90.39497307
450603,100,100
450604,95.95278246,100
450605,97.78761062,97.46835443
450606,100,100
450607,100,100
450701,100,100
450741,100,100
450742,98.59813084,98.2832618
450743,100,95.62737643
450744,98.79725086,100
450745,92.48747913,93.7896071
450746,97.85202864,98.02469136
450750,100,100
450751,97.45098039,94.53044376
450752,98.45440495,98.68613139
451101,100,100
451102,97.19626168,96.882494
451201,97.02380952,97.88293898
451202,100,100
451300,94.28571429,96.82539683
451401,100,100
451403,92.77777778,100
451404,100,96.31410256
451501,86.3760218,100
451503,96.94656489,93.59504132
451504,100,100
451505,100,88.68778281
451506,100,100
451601,96.53465347,100
451602,100,100
451701,100,100
451703,100,100
451704,100,100
981900,100,100
982000,100,100
983200,100,100
990000,100,100
010000,80.625,99.0990991
000101,100,100
000102,68.88888889,100
000200,88.70967742,98.46153846
000301,100,100
000303,97.14285714,100
000304,94.32989691,92.54658385
000401,100,100
000402,100,88.94117647
000500,62.06896552,91.83673469
000102,91.61290323,96.1038961
000103,100,100
000104,100,93.60613811
000201,100,100
000202,96.8847352,95.78313253
000300,100,100
000401,97.47292419,98.09264305
000402,96.8973747,96.79075738
000501,100,97.9638009
000502,100,90.86021505
000601,100,100
000603,97.53694581,100
000604,100,96.47058824
000700,100,100
000800,93.22033898,80.19417476
000901,93.29608939,100
000903,99.68992248,97.59825328
000904,95.58823529,100
001000,100,86.29032258
001100,94.18181818,100
001200,96.47058824,91.66666667
